date	author
19 August 2000	Figure 14.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter14ElevationGrid\Figure14_3ElevationGridRibbon.json
19 August 2000	Figure 14.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter14ElevationGrid\Figure14_2ElevationGridMountain.json
13 August 2000	Figure 10.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_11AnimatingTransparencySpaceStation.json
13 August 2000	Figure 10.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_10SemiTransparentSpaceStation.json
15 August 2000	Figure 10.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_09ThreeBlinkingShapes.json
15 August 2000	Figure 10.8  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_08BlinkingSphere.json
15 August 2000	Figure 10.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_07LightBulb.json
13 August 2000	Figure 10.6  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_06PulsatingSpaceStation.json
13 August 2000	Figure 10.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_05MultiColoredSpaceStation.json
12 August 2000	Figure 10.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter10Materials\Figure10_04BrightRedSphere.json
8 August 2000	Figure 8.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter08AnimatingPositionOrientationScale\Figure08_5AnimatingScaleWithAxes.json
8 August 2000	Figure 8.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter08AnimatingPositionOrientationScale\Figure08_5AnimatingScale.json
8 August 2000	Figure 8.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter08AnimatingPositionOrientationScale\Figure08_4OrientationInterpolatorWithAxes.json
8 August 2000	Figure 8.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter08AnimatingPositionOrientationScale\Figure08_4OrientationInterpolator.json
8 August 2000	Figure 8.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter08AnimatingPositionOrientationScale\Figure08_3PositionInterpolatorWithAxes.json
8 August 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter08AnimatingPositionOrientationScale\Figure08_3PositionInterpolator.json
12 August 2000	Figure 9.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_9DeskLampWithAxes.json
12 August 2000	Figure 9.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_9DeskLamp.json
12 August 2000	Figure 9.8  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_8ClickDragTouchSensorPlaneSensorWithAxes.json
12 August 2000	Figure 9.8  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_8ClickDragTouchSensorPlaneSensor.json
12 August 2000	Figure 9.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_7CylinderSensorWithAxes.json
12 August 2000	Figure 9.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_7CylinderSensor.json
12 August 2000	Figure 9.6  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_6SphereSensorWithAxes.json
12 August 2000	Figure 9.6  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_6SphereSensor.json
9 August 2000	Figure 9.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_5FourStackingBlocksWithAxes.json
9 August 2000	Figure 9.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_5FourStackingBlocks.json
9 August 2000	Figure 9.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_4ConePlaneSensorConstrainedWithAxes.json
9 August 2000	Figure 9.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_4ConePlaneSensorConstrained.json
9 August 2000	Figure 9.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_3ConePlaneSensorWithAxes.json
9 August 2000	Figure 9.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_3ConePlaneSensor.json
9 August 2000	Figure9.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_2SpinningCubeTouchSensorClickedWithAxes.json
9 August 2000	Figure 9.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_2SpinningCubeTouchSensorClicked.json
9 August 2000	Figure 9.1  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_1SpinningCubeTouchSensorWithAxes.json
9 August 2000	Figure 9.1  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter09SensingViewer\Figure09_1SpinningCubeTouchSensor.json
8 October 2000	Figure 6.12  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_12DeskLampBaseTwoArms.json
8 October 2000	Figure 6.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_11DeskLampBase.json
8 October 2000	Figure 6.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_10SimpleArch.json
8 October 2000	Figure 6.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_09TripleAsterisk3dWithAxes.json
8 October 2000	Figure 6.8  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_08Asterisk3dWithAxes.json
6 October 2000	Figure 6.7b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_07bRotationMinus45zWithAxes.json
6 October 2000	Figure 6.6b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_06bRotation45yWithAxes.json
6 October 2000	Figure 6.5b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_05bRotationMinus45xWithAxes.json
5 October 2000	Figure 6.4b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter06RotatingShapes\Figure06_04bRotation45xWithAxes.json
8 August 2000	Figure 5.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_11NestedArchwaysWithAxes.json
8 August 2000	Figure 5.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_11NestedArchways.json
8 August 2000	Figure 5.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_10ArchwayWithAxes.json
8 August 2000	Figure 5.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_10Archway.json
8 August 2000	Figure 5.4b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_04bCylinderTranslationWithAxes.json
8 August 2000	Figure 5.4b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_04bCylinderTranslation.json
8 August 2000	Figure 5.3b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_03bCylinderTranslationWithAxes.json
29 July 2000	Figure 5.3b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter05PositioningShapes\Figure05_03bCylinderTranslation.json
9 October 2000	Figure 7.13  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_13DiagonallyScaledTree.json
9 October 2000	Figure 7.12  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_12bVerticallyScaledTree.json
9 October 2000	Figure 7.12  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_12aSimpleTree.json
9 October 2000	Figure 7.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_11ScaledArches.json
8 October 2000	Figure 7.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_10SimpleSpaceship.json
8 October 2000	Figure 7.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_09SimpleSpaceshipBodyWingsWithAxes.json
8 October 2000	Figure 7.8b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_08bScale2x_Halfy_4zWithAxes.json
8 October 2000	Figure 7.7b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_07bScaleHalfzWithAxes.json
8 October 2000	Figure 7.6b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_06bScale2yWithAxes.json
8 October 2000	Figure 7.5b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_05bScaleHalfxWithAxes.json
8 October 2000	Figure 7.4b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter07ScalingShapes\Figure07_04bScale2xWithAxes.json
6 August 2000	Figure 4.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_11TextOverstrikeFontWithAxes.json
6 August 2000	Figure 4.11  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_11TextOverstrikeFont.json
6 August 2000	Figure 4.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_10TwoLinesTextFlatBoxWithAxes.json
6 August 2000	Figure 4.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_10TwoLinesTextFlatBox.json
6 August 2000	Figure 4.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_09TwoTextShapesDifferentJustificationWithAxes.json
6 August 2000	Figure 4.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_09TwoTextShapesDifferentJustification.json
6 August 2000	Figure 4.8b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_08bTextLessLineSpacingWithAxes.json
6 August 2000	Figure 4.8b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_08bTextLessLineSpacing.json
6 August 2000	Figure 4.8a  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_08aTextMoreLineSpacingWithAxes.json
6 August 2000	Figure 4.8a  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_08aTextMoreLineSpacing.json
6 August 2000	Figure 4.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_07SmallTextWithAxes.json
6 August 2000	Figure 4.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_07SmallText.json
6 August 2000	Figure 4.6b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_06bTextBoldSerifFontWithAxes.json
6 August 2000	Figure 4.6b  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_06bTextBoldSerifFont.json
6 August 2000	Figure 4.6a  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_06aTextPlainSerifFontWithAxes.json
6 August 2000	Figure 4.6a  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_06aTextPlainSerifFont.json
6 August 2000	Figure 4.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_05TextLimitedByMaximumExtentWithAxes.json
6 August 2000	Figure 4.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_05TextLimitedByMaximumExtent.json
6 August 2000	Figure 4.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_04ListTextStringsAndLengthsWithAxes.json
6 August 2000	Figure 4.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_04ListTextStringsAndLengths.json
6 August 2000	Figure 4.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_03CompressedTextWithAxes.json
6 August 2000	Figure 4.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_03CompressedText.json
6 August 2000	Figure 4.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_02ListOfTextStringsWithAxes.json
6 August 2000	Figure 4.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_02ListOfTextStrings.json
6 August 2000	Figure 4.1  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_01TextShapeWithAxes.json
6 August 2000	Figure 4.1  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter04Text\Figure04_01TextShape.json
6 August 2000	The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter02Introduction\Figure02_1Hut.json
6 August 2000	Figure 3.10  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_10SpaceStation.json
6 August 2000	Figure 3.9  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_09_3dPlusSign.json
6 August 2000	Figure 3.8  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_08DefaultSphereWithAxes.json
6 August 2000	Figure 3.8  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_08DefaultSphere.json
6 August 2000	Figure 3.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_07ResizedCylinderHollowWithAxes.json
6 August 2000	Figure 3.7  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_07ResizedCylinderHollow.json
6 August 2000	Figure 3.6  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_06ResizedCylinderWithAxes.json
6 August 2000	Figure 3.6  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_06ResizedCylinder.json
6 August 2000	Figure 3.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_05DefaultCylinderWithAxes.json
6 August 2000	Figure 3.5  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_05DefaultCylinder.json
6 August 2000	Figure 3.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_04FlattenedConeWithAxes.json
6 August 2000	Figure 3.4  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_04FlattenedCone.json
6 August 2000	Figure 3.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_03DefaultConeWithAxes.json
6 August 2000	Figure 3.3  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_03DefaultCone.json
6 August 2000	Figure 3.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_02ResizedBoxWithAxes.json
6 August 2000	Figure 3.2  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_02ResizedBox.json
6 August 2000	Figure 3.1  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_01DefaultBoxWithAxes.json
6 August 2000	Figure 3.1  The VRML 2.0 Sourcebook  Copyright [1997] By Andrea L. Ames  David R. Nadeau  and John L. Moreland	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\Chapter03Shapes\Figure03_01DefaultBox.json
